 I     C       F       K
  1  -10.00   14.00  263.15
  2   -7.80   17.96  265.35
  3   -5.60   21.92  267.55
  4   -3.40   25.88  269.75
  5   -1.20   29.84  271.95
  6    1.00   33.80  274.15
  7    3.20   37.76  276.35
  8    5.40   41.72  278.55
  9    7.60   45.68  280.75
 10    9.80   49.64  282.95
 11   12.00   53.60  285.15
 12   14.20   57.56  287.35
 13   16.40   61.52  289.55
 14   18.60   65.48  291.75
 15   20.80   69.44  293.95
 16   23.00   73.40  296.15
 17   25.20   77.36  298.35
 18   27.40   81.32  300.55
 19   29.60   85.28  302.75
 20   31.80   89.24  304.95
 21   34.00   93.20  307.15
 22   36.20   97.16  309.35
 23   38.40  101.12  311.55
 24   40.60  105.08  313.75
 25   42.80  109.04  315.95
 26   45.00  113.00  318.15
 27   47.20  116.96  320.35
 28   49.40  120.92  322.55
 29   51.60  124.88  324.75
 30   53.80  128.84  326.95
 31   56.00  132.80  329.15
 32   58.20  136.76  331.35
 33   60.40  140.72  333.55
 34   62.60  144.68  335.75
 35   64.80  148.64  337.95
 36   67.00  152.60  340.15
 37   69.20  156.56  342.35
 38   71.40  160.52  344.55
 39   73.60  164.48  346.75
 40   75.80  168.44  348.95
 41   78.00  172.40  351.15
 42   80.20  176.36  353.35
 43   82.40  180.32  355.55
 44   84.60  184.28  357.75
 45   86.80  188.24  359.95
 46   89.00  192.20  362.15
 47   91.20  196.16  364.35
 48   93.40  200.12  366.55
 49   95.60  204.08  368.75
 50   97.80  208.04  370.95
 51  100.00  212.00  373.15
